Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Men;Europe;Switzerland;Baseball;NA;NA
Men;Europe;Poland;Baseball;NA;NA
Men;Europe;Sweden;Baseball;NA;NA
Men;Oceania;Australia;Baseball;8;1
Men;Oceania;New Zealand;Baseball;NA;NA
Men;Oceania;Papua New Guinea;Baseball;NA;NA
Men;Oceania;New Caledonia;Baseball;NA;NA
Men;Oceania;Guam;Baseball;NA;NA
Men;Oceania;French Polynesia;Baseball;NA;NA
Men;Oceania;Fiji;Baseball;NA;NA
Men;Oceania;Solomon Island;Baseball;NA;NA
Men;Oceania;Northern Mariana Islands;Baseball;NA;NA
Men;Oceania;Vanuatu;Baseball;NA;NA
Men;Africa;Nigeria;Cricket;NA;NA
Men;Africa;Egypt;Cricket;NA;NA
Men;Africa;South Africa;Cricket;14;5
Men;Africa;Algeria;Cricket;NA;NA
Men;Africa;Morocco;Cricket;NA;NA
Men;Africa;Angola;Cricket;NA;NA
Men;Africa;Kenya;Cricket;NA;NA
Men;Africa;Ethiopia;Cricket;NA;NA
Men;Africa;Tanzania, United Republic of;Cricket;NA;NA
Men;Africa;Ghana;Cricket;NA;NA
Men;Americas;United States;Cricket;NA;NA
Men;Americas;Canada;Cricket;NA;NA
Men;Americas;Brazil;Cricket;NA;NA
Men;Americas;Mexico;Cricket;NA;NA
Men;Americas;Argentina;Cricket;NA;NA
Men;Americas;Colombia;Cricket;NA;NA
Men;Americas;Chile;Cricket;NA;NA
Men;Americas;Peru;Cricket;NA;NA
Men;Americas;Puerto Rico;Cricket;NA;NA
Men;Americas;Ecuador;Cricket;NA;NA
Men;Asia;China;Cricket;NA;NA
Men;Asia;Japan;Cricket;NA;NA
Men;Asia;India;Cricket;48;18
Men;Asia;Iran, Islamic Republic of;Cricket;NA;NA
Men;Asia;Korea, Republic of;Cricket;NA;NA
Men;Asia;Indonesia;Cricket;NA;NA
Men;Asia;Saudi Arabia;Cricket;NA;NA
Men;Asia;Turkey;Cricket;NA;NA
Men;Asia;Thailand;Cricket;NA;NA
Men;Asia;Israel;Cricket;NA;NA
Men;Europe;Germany;Cricket;NA;NA
Men;Europe;United Kingdom;Cricket;18;9
Men;Europe;France;Cricket;NA;NA
Men;Europe;Russian Federation;Cricket;NA;NA
Men;Europe;Italy;Cricket;NA;NA
Men;Europe;Spain;Cricket;NA;NA
Men;Europe;Netherlands;Cricket;NA;NA
Men;Europe;Switzerland;Cricket;NA;NA
Men;Europe;Poland;Cricket;NA;NA
Men;Europe;Sweden;Cricket;NA;NA
Men;Oceania;Australia;Cricket;14;2
Men;Oceania;New Zealand;Cricket;6;3
Men;Oceania;Papua New Guinea;Cricket;NA;NA
Men;Oceania;New Caledonia;Cricket;NA;NA
Men;Oceania;Guam;Cricket;NA;NA
